"filename", "language", "Lua", "SQL", "Markdown", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\arrests.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\bank.js", "JavaScript", 0, 0, 0, 289, 0, 0, 26, 41, 356
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\bottomselector.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 8, 40
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\calculator.js", "JavaScript", 0, 0, 0, 53, 0, 0, 2, 13, 68
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\clock.js", "JavaScript", 0, 0, 0, 372, 0, 0, 0, 74, 446
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\config.js", "JavaScript", 0, 0, 0, 91, 0, 0, 0, 4, 95
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\crypto.js", "JavaScript", 0, 0, 0, 225, 0, 0, 0, 37, 262
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\emergency.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 7, 62
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\food.js", "JavaScript", 0, 0, 0, 84, 0, 0, 0, 11, 95
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\garage.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 7, 48
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\houses.js", "JavaScript", 0, 0, 0, 136, 0, 0, 9, 31, 176
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\jquery.ios.picker.js", "JavaScript", 0, 0, 0, 140, 0, 0, 6, 11, 157
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\lawyers.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 7, 66
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\mail.js", "JavaScript", 0, 0, 0, 169, 0, 0, 1, 34, 204
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\mechanic.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 7, 66
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\meos.js", "JavaScript", 0, 0, 0, 196, 0, 0, 0, 21, 217
